evidence_id,query,source_url,source_type,dominant_intent,observed_entities,observed_page_type,observed_at,verification_status,notes
SERP-001,spa thú cưng bình thạnh,https://pawiepethouse.com/,competitor,LOCAL_TRANSACTIONAL,Pawie Pet House; Spa; Grooming; Pet Hotel,local service homepage,2026-08-24,VERIFIED,Competitor explicitly positions Spa/Grooming/Pet Hotel for Bình Thạnh
SERP-002,spa thú cưng bình thạnh,https://pawiepethouse.com/gioi-thieu,competitor,LOCAL_TRANSACTIONAL,Pawie Pethouse; Bình Thạnh; Spa; Pet Hotel,service/about landing,2026-08-24,VERIFIED,Exact local service phrase appears in heading and body
SERP-003,spa thú cưng bình thạnh gần landmark,https://pawiepethouse.com/spa-thu-cung-va-shop-phu-kien-gan-landmark-81-vinhomes-central-park-va-city-garden,competitor,LOCAL_TRANSACTIONAL,Landmark 81; Vinhomes Central Park; City Garden; Grooming; Pet Hotel,local service landing,2026-08-24,VERIFIED,Shows real-local-value pattern rather than generic location swaps
SERP-004,spa thú cưng bình thạnh,https://petworldoasis.vn/,competitor,LOCAL_TRANSACTIONAL,Petworld Oasis; Spa; Grooming; Pet Hotel,local service homepage,2026-08-24,VERIFIED,Competitor combines service/entity content and educational articles
SERP-005,lumi pet 27 võ trường toản,https://capquangfptminhlh.github.io/mimi/,first_party,NAVIGATIONAL,Lumi Pet; Spa; Hotel,production homepage,2026-08-24,VERIFIED,Current public site is GitHub Pages
SRC-PRICE-DOG,dog spa pricing,user-provided-price-poster-2026-08-24,first_party,COMMERCIAL,Lumi Pet; dog spa; grooming,price poster,2026-08-24,VERIFIED,Tiered dog spa/grooming prices supplied directly by owner
SRC-PRICE-CAT,cat spa pricing,user-provided-price-poster-2026-08-24,first_party,COMMERCIAL,Lumi Pet; cat spa,price poster,2026-08-24,VERIFIED,Tiered cat bath and bath+shave prices supplied directly by owner
SRC-PRICE-HOTEL,pet hotel pricing,user-provided-price-poster-2026-08-24,first_party,COMMERCIAL,Lumi Pet; pet hotel,price poster,2026-08-24,VERIFIED,Tiered per-day hotel prices and long-stay discounts supplied directly by owner
SRC-NAP,lumi pet contact,user-provided-price-posters-2026-08-24,first_party,NAVIGATIONAL,Lumi Pet; 27 Võ Trường Toản; 0989 979 675,price/contact poster,2026-08-24,VERIFIED,Address wording varies by ward on supplied posters; canonical project copy uses street + Bình Thạnh + TP.HCM until ward is reverified
PETMD-RASH-2026-09-02,chó bị ngứa sau khi tắm,https://www.petmd.com/dog/symptoms/rashes-on-dogs,veterinary_reference,INFORMATIONAL,Dog rash; contact dermatitis; shampoo irritation; emergency signs,veterinary guidance article,2026-09-02,VERIFIED,Current DVM-authored guidance explicitly covers rash after bath/new shampoo and veterinary escalation; no demand metric claimed
PETMD-CONTACT-2026-09-02,chó bị kích ứng sản phẩm tắm,https://www.petmd.com/dog/conditions/skin/contact-dermatitis,veterinary_reference,INFORMATIONAL,Dog contact dermatitis; redness; itching; irritants,veterinary guidance article,2026-09-02,VERIFIED,Current DVM-authored guidance supports contact-irritant differentiation and veterinarian-led treatment
PETMD-ITCH-2026-09-02,chó ngứa da sau tắm,https://www.petmd.com/dog/general-health/dog-skin-allergies,veterinary_reference,INFORMATIONAL,Dog skin allergies; dog shampoo; localized itch; inflammation,veterinary guidance article,2026-09-02,VERIFIED,Current veterinary guidance identifies dog shampoo among contact irritants; used for safety context not search-volume claims
AKC-DERMATITIS-2026-09-02,làm khô chó sau tắm,https://www.akc.org/expert-advice/health/dermatitis-in-dogs/,expert_reference,INFORMATIONAL,Dog dermatitis; post-bath drying; bacteria; fungi,expert guidance article,2026-09-02,VERIFIED,Current AKC guidance supports thorough drying after bathing; used as care reference rather than diagnosis
AKC-DOUBLE-COAT-2026-09-03,nên tắm vệ sinh hay tắm cạo cho chó,https://www.akc.org/expert-advice/health/double-coated-dog-breeds/,expert_reference,COMMERCIAL_RESEARCH,Double-coated dogs; shaving; coat protection; matting,expert guidance article,2026-09-03,VERIFIED,Current AKC guidance supports not routinely shaving double-coated dogs and using regular grooming instead; no demand metric claimed
AKC-GROOM-DOUBLE-COAT-2026-09-03,chăm sóc chó lông kép trước khi cạo,https://www.akc.org/expert-advice/health/how-to-groom-a-double-coated-dog/,expert_reference,INFORMATIONAL,Double-coated dogs; bathing; brushing; shaving exceptions,expert guidance article,2026-09-03,VERIFIED,Current AKC grooming guidance supports bath brush dry maintenance and reserves shaving for exceptional severe matting contexts; no demand metric claimed
VCA-CAT-BOARDING-2026-09-03,mèo đi khách sạn bỏ ăn,https://vcahospitals.com/know-your-pet/boarding-your-cat,veterinary_reference,INFORMATIONAL,Cat boarding; reduced appetite; stress; familiar items,veterinary guidance article,2026-09-03,VERIFIED,VCA notes cats unfamiliar with boarding may eat or drink less and familiar bedding or toys can help comfort; no demand metric claimed
VCA-CAT-ANOREXIA-2026-09-03,mèo bỏ ăn,https://vcahospitals.com/lakeline/know-your-pet/anorexia-in-cats,veterinary_reference,INFORMATIONAL,Cat anorexia; hepatic lipidosis; force feeding; veterinary escalation,veterinary guidance article,2026-09-03,VERIFIED,VCA advises taking appetite changes seriously and highlights hepatic lipidosis risk especially in overweight cats; no search volume or ranking claim
PETMD-CAT-APPETITE-2026-09-03,mèo không ăn,https://www.petmd.com/cat/nutrition/cat-not-eating-what-to-do,veterinary_reference,INFORMATIONAL,Cat appetite loss; vomiting; diarrhea; lethargy; hepatic lipidosis,veterinary guidance article,2026-09-03,VERIFIED,DVM-authored guidance supports early veterinary escalation when appetite loss persists or is accompanied by red flags; no demand metric claimed
PEXELS-CAT-FOOD-2026-09-03,mèo cạnh bát thức ăn,https://www.pexels.com/photo/black-cat-near-bowl-with-food-16618550/,image_reference,INFORMATIONAL,Black cat; food bowl; indoor setting,free stock photo page,2026-09-03,VERIFIED,Pexels page describes a black cat near a food bowl and marks the photo free to use; used as exact-topic appetite illustration
SERP-WEIGHT-2026-09-04,spa chó giá theo cân nặng,https://www.petngon.vn/vi,competitor,COMMERCIAL,Dog spa; weight tiers; bath; trimming; shave,price/service page,2026-09-04,VERIFIED,Current result exposes side-by-side dog service prices by weight tier; used only as evidence that weight-specific decision support is a live SERP/category pattern and not as a source for Lumi Pet prices
PEXELS-SMALL-DOG-GROOM-2026-09-04,chó nhỏ grooming salon,https://www.pexels.com/photo/small-dog-in-grooming-salon-6816837/,image_reference,COMMERCIAL,Small dog; groomer; fur trimming; pet salon,free stock photo page,2026-09-04,VERIFIED,Pexels describes a groomer trimming a small dog's fur in a modern pet salon and marks the photo free to use; exact-topic image for the 5kg Spa scenario
