keyword,primary_intent,secondary_intent,cluster_id,target_url,rationale,evidence_ref,observed_at,status
spa thú cưng bình thạnh,LOCAL_TRANSACTIONAL,COMMERCIAL,SPA,/mimi/spa-thu-cung-binh-thanh/,User wants a nearby provider and can convert directly,SERP-001;SERP-003,2026-08-24,VERIFIED
spa chó mèo bình thạnh,LOCAL_TRANSACTIONAL,COMMERCIAL,SPA,/mimi/spa-thu-cung-binh-thanh/,Same search job as core spa query,SERP-001;SERP-003,2026-08-24,VERIFIED
tắm chó bình thạnh,LOCAL_TRANSACTIONAL,COMMERCIAL,SPA,/mimi/spa-thu-cung-binh-thanh/,Service sub-intent within spa,SRC-PRICE-DOG,2026-08-24,VERIFIED
tắm mèo bình thạnh,LOCAL_TRANSACTIONAL,COMMERCIAL,SPA,/mimi/spa-thu-cung-binh-thanh/,Service sub-intent with cat-specific price table,SRC-PRICE-CAT,2026-08-24,VERIFIED
grooming chó bình thạnh,LOCAL_TRANSACTIONAL,COMMERCIAL,GROOMING,/mimi/grooming-cho-meo-binh-thanh/,Distinct grooming/cut intent,SERP-002;SERP-003,2026-08-24,VERIFIED
grooming chó gồm những gì,COMMERCIAL_RESEARCH,INFORMATIONAL,GROOMING,/bai-viet/grooming-cho-gom-nhung-gi/,Service-scope and package-selection research before booking distinct from local transactional and price ownership,CONTENT-CALENDAR-34;SRC-PRICE-DOG;LIVE-LUMIPET-SPA-2026-09-02,2026-09-02,VERIFIED
Poodle bao lâu nên grooming một lần,INFORMATIONAL,COMMERCIAL_RESEARCH,POODLE,/bai-viet/poodle-bao-lau-nen-grooming-mot-lan/,Breed-specific grooming frequency and maintenance planning distinct from brushing technique coat-length choice and local booking intent,CONTENT-CALENDAR-35;AKC-POODLE-GROOMING-2026-09-02,2026-09-02,VERIFIED
khách sạn thú cưng bình thạnh,LOCAL_TRANSACTIONAL,COMMERCIAL,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,Pet boarding conversion intent,SERP-001;SERP-002,2026-08-24,VERIFIED
chó đi khách sạn bỏ ăn,INFORMATIONAL,COMMERCIAL_RESEARCH,HOTEL,/bai-viet/cho-di-khach-san-bo-an/,Boarding-specific appetite and stress question distinct from local Hotel booking intent,CONTENT-CALENDAR-32,2026-09-01,VERIFIED
mèo đi khách sạn bỏ ăn,INFORMATIONAL,COMMERCIAL_RESEARCH,HOTEL,/bai-viet/meo-di-khach-san-bo-an/,Cat-specific boarding appetite and stress question distinct from dog appetite article packing checklist and local Hotel transactional intent,VCA-CAT-BOARDING-2026-09-03;VCA-CAT-ANOREXIA-2026-09-03;PETMD-CAT-APPETITE-2026-09-03,2026-09-03,VERIFIED
bảng giá spa thú cưng,COMMERCIAL,TRANSACTIONAL,PRICE,/mimi/bang-gia-spa-thu-cung/,Price comparison before booking,SRC-PRICE-DOG;SRC-PRICE-CAT,2026-08-24,VERIFIED
đặt lịch spa thú cưng,TRANSACTIONAL,LOCAL_TRANSACTIONAL,BOOK_SPA,/mimi/dat-lich/,Direct appointment action,APP-BOOKING,2026-08-24,VERIFIED
đặt phòng thú cưng,TRANSACTIONAL,LOCAL_TRANSACTIONAL,BOOK_HOTEL,/mimi/dat-phong/,Direct room reservation action,SRC-PRICE-HOTEL,2026-08-24,VERIFIED
spa thú cưng giá bao nhiêu,INFORMATIONAL,COMMERCIAL,PRICE,/mimi/bang-gia-spa-thu-cung/,AEO question answered from first-party pricing,SRC-PRICE-DOG;SRC-PRICE-CAT,2026-08-24,VERIFIED
gửi thú cưng trên 5 ngày giảm bao nhiêu,INFORMATIONAL,COMMERCIAL,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,AEO question answered by hotel discount policy,SRC-PRICE-HOTEL,2026-08-24,VERIFIED
lumi pet địa chỉ,NAVIGATIONAL,LOCAL_INFORMATIONAL,CONTACT,/mimi/lien-he/,Brand NAP lookup,SRC-NAP,2026-08-24,VERIFIED
chó bị ngứa sau khi tắm,INFORMATIONAL,COMMERCIAL_RESEARCH,DOG_CARE,/bai-viet/cho-bi-ngua-sau-khi-tam/,Post-bath itching triage and prevention intent is distinct from post-bath odor bathing-frequency rain-care and local Spa transactional owners,PETMD-RASH-2026-09-02;PETMD-ITCH-2026-09-02;PETMD-CONTACT-2026-09-02,2026-09-02,VERIFIED
nên tắm vệ sinh hay tắm cạo cho chó,COMMERCIAL_RESEARCH,COMPARISON,SPA,/bai-viet/nen-tam-ve-sinh-hay-tam-cao-cho-cho/,Package-selection comparison between bath-only and bath-plus-shave based on coat condition coat type grooming goal and verified Lumi Pet price tiers; distinct from price-only and local transactional owners,CONTENT-CALENDAR-37;SRC-PRICE-DOG;AKC-DOUBLE-COAT-2026-09-03;AKC-GROOM-DOUBLE-COAT-2026-09-03,2026-09-03,VERIFIED
chó run sau khi tắm,INFORMATIONAL,COMMERCIAL_RESEARCH,DOG_CARE,/bai-viet/cho-run-sau-khi-tam/,Post-bath shaking and shivering triage is distinct from post-bath itching odor dryer-fear and local Spa transactional owners; focuses on normal shake-off versus persistent shivering drying warmth and veterinary red flags,AKC-SHAKING-2026-09-03;AKC-DRY-DOG-2026-09-03;PETMD-HYPOTHERMIA-2026-09-03,2026-09-03,VERIFIED
chó 5kg đi spa giá bao nhiêu,COMMERCIAL,TRANSACTIONAL,SPA,/bai-viet/cho-5kg-di-spa-gia-bao-nhieu/,Fixed-weight scenario asks for the exact 5kg price tier plus service choice before booking; distinct from the full price-table owner and local Spa landing,SRC-PRICE-DOG;SERP-WEIGHT-2026-09-04,2026-09-04,VERIFIED
