page_id,target_url,implementation,desktop_runtime,mobile_runtime,seo_shell,status
P001,/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P002,/spa-thu-cung-binh-thanh/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P003,/grooming-cho-meo-binh-thanh/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P004,/pet-hotel-binh-thanh/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P005,/pet-shop-binh-thanh/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P006,/bang-gia/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P007,/dat-lich/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P008,/lien-he/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P009,/gioi-thieu/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
P010,/faq/,IMPLEMENTED,HOLD,HOLD,PASS,IMPLEMENTED_STATIC
