keyword,normalized_query,query_pattern,primary_intent,secondary_intent,entity_type,entity_name,topic,subtopic,modifier,audience,use_case,location,cluster_id,target_url,url_type,priority_tier,demand_evidence,serp_evidence_ref,source_ref,observed_at,verification_status,status
lumi pet,lumi pet,lumi pet,NAVIGATIONAL,LOCAL_TRANSACTIONAL,brand,Lumi Pet,brand,local business,,pet owners,find official business,Bình Thạnh,BRAND,/mimi/,homepage,P0,Brand/entity demand; no volume claimed,SERP-005,first-party + current web,2026-08-24,VERIFIED,RETAIN
lumi pet bình thạnh,lumi pet bình thạnh,lumi pet + location,LOCAL_TRANSACTIONAL,NAVIGATIONAL,brand,Lumi Pet,brand,local business,Bình Thạnh,pet owners,find local provider,Bình Thạnh,BRAND,/mimi/,homepage,P0,Local branded intent,SERP-005,first-party + current web,2026-08-24,VERIFIED,RETAIN
spa thú cưng bình thạnh,spa thú cưng bình thạnh,spa thú cưng + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Spa thú cưng,Spa,tắm vệ sinh,Bình Thạnh,pet owners,book grooming care,Bình Thạnh,SPA,/mimi/spa-thu-cung-binh-thanh/,service,P0,Current competitors target exact local service intent,SERP-001;SERP-003,current SERP,2026-08-24,VERIFIED,RETAIN
spa chó mèo bình thạnh,spa chó mèo bình thạnh,spa chó mèo + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Spa chó mèo,Spa,tắm vệ sinh,Bình Thạnh,pet owners,find local spa,Bình Thạnh,SPA,/mimi/spa-thu-cung-binh-thanh/,service,P0,Same intent family as spa thú cưng,SERP-001;SERP-003,current SERP,2026-08-24,VERIFIED,RETAIN
tắm chó bình thạnh,tắm chó bình thạnh,tắm chó + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Tắm chó,Spa,tắm vệ sinh,Bình Thạnh,dog owners,book bath,Bình Thạnh,SPA,/mimi/spa-thu-cung-binh-thanh/,service,P1,Local service sub-intent observed in competitor coverage,SERP-003,current SERP,2026-08-24,VERIFIED,RETAIN
tắm mèo bình thạnh,tắm mèo bình thạnh,tắm mèo + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Tắm mèo,Spa,tắm vệ sinh,Bình Thạnh,cat owners,book cat bath,Bình Thạnh,SPA,/mimi/spa-thu-cung-binh-thanh/,service,P1,First-party cat pricing supports differentiated answer,SRC-PRICE-CAT,first-party poster,2026-08-24,VERIFIED,RETAIN
grooming chó bình thạnh,grooming chó bình thạnh,grooming + dog + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Grooming chó,Grooming,cắt tỉa,Bình Thạnh,dog owners,book grooming,Bình Thạnh,GROOMING,/mimi/grooming-cho-meo-binh-thanh/,service,P1,Competitor uses grooming as a distinct service entity,SERP-002;SERP-003,current SERP,2026-08-24,VERIFIED,RETAIN
cắt tỉa lông chó bình thạnh,cắt tỉa lông chó bình thạnh,cắt tỉa lông chó + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Cắt tỉa lông chó,Grooming,cắt tỉa,Bình Thạnh,dog owners,book haircut,Bình Thạnh,GROOMING,/mimi/grooming-cho-meo-binh-thanh/,service,P1,First-party tiered grooming prices,SRC-PRICE-DOG,first-party poster,2026-08-24,VERIFIED,RETAIN
khách sạn thú cưng bình thạnh,khách sạn thú cưng bình thạnh,pet hotel + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Khách sạn thú cưng,Hotel,lưu trú,Bình Thạnh,pet owners,book pet hotel,Bình Thạnh,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,service,P0,Current competitors explicitly target pet hotel Bình Thạnh,SERP-001;SERP-002,current SERP,2026-08-24,VERIFIED,RETAIN
khách sạn chó mèo bình thạnh,khách sạn chó mèo bình thạnh,khách sạn chó mèo + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Khách sạn chó mèo,Hotel,lưu trú,Bình Thạnh,dog/cat owners,book pet boarding,Bình Thạnh,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,service,P0,Same core hotel intent family,SERP-001;SERP-002,current SERP,2026-08-24,VERIFIED,RETAIN
