keyword_or_query_pattern,primary_intent,cluster_id,target_url,url_type,primary_keyword,secondary_keywords,canonical_owner,indexability,status
lumi pet / lumi pet bình thạnh,NAVIGATIONAL,BRAND,/mimi/,homepage,lumi pet bình thạnh,lumi pet; spa hotel thú cưng,YES,index,KEEP
spa thú cưng + bình thạnh,LOCAL_TRANSACTIONAL,SPA,/mimi/spa-thu-cung-binh-thanh/,service,spa thú cưng bình thạnh,spa chó mèo bình thạnh; tắm chó bình thạnh; tắm mèo bình thạnh,YES,index,BUILD_LAUNCH
cách chọn spa thú cưng + bình thạnh,COMMERCIAL_RESEARCH,SPA,/bai-viet/spa-thu-cung-binh-thanh-nen-chon-noi-nao/,article,cách chọn spa thú cưng Bình Thạnh,tiêu chí chọn spa thú cưng; chọn spa chó mèo Bình Thạnh,YES,index,PUBLISHED
checklist trước khi đặt lịch spa chó mèo,COMMERCIAL_RESEARCH,SPA,/bai-viet/checklist-dat-lich-spa-cho-meo/,article,checklist trước khi đặt lịch spa chó mèo,chuẩn bị trước khi book spa; thông tin cần gửi khi đặt spa; checklist booking spa chó mèo,YES,index,PUBLISHED
grooming / cắt tỉa + bình thạnh,LOCAL_TRANSACTIONAL,GROOMING,/mimi/grooming-cho-meo-binh-thanh/,service,grooming chó bình thạnh,cắt tỉa lông chó bình thạnh,YES,index,BUILD_LAUNCH
grooming chó nhỏ + bình thạnh,COMMERCIAL_LOCAL,GROOMING,/bai-viet/grooming-cho-nho-binh-thanh/,article,grooming chó nhỏ Bình Thạnh,grooming chó nhỏ; cắt tỉa chó nhỏ Bình Thạnh,YES,index,PUBLISHED
cách chải lông Poodle đúng,INFORMATIONAL,POODLE,/bai-viet/cach-chai-long-poodle-dung/,article,cách chải lông Poodle đúng,chải lông Poodle tại nhà; lược chải lông Poodle; Poodle dễ rối lông,YES,index,PUBLISHED
Poodle nên để lông dài hay cắt ngắn,INFORMATIONAL,POODLE,/bai-viet/poodle-nen-de-long-dai-hay-cat-ngan/,article,Poodle nên để lông dài hay cắt ngắn,Poodle lông dài; Poodle lông ngắn; chọn độ dài lông Poodle,YES,index,PUBLISHED
mèo lông dài bị rối nên làm gì,INFORMATIONAL,CAT_CARE,/bai-viet/meo-long-dai-bi-roi-nen-lam-gi/,article,mèo lông dài bị rối nên làm gì,mèo lông dài rối lông; gỡ rối lông mèo dài; mèo Persian rối lông,YES,index,PUBLISHED
khách sạn / gửi chó mèo + bình thạnh,LOCAL_TRANSACTIONAL,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,service,khách sạn thú cưng bình thạnh,khách sạn chó mèo bình thạnh; gửi chó mèo bình thạnh,YES,index,BUILD_LAUNCH
